                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71018,                 2.5421,                 1.3287,                0.57468,                0.50391,                0.49986,                0.38738,                0.77844,                 1.5563,                 1.6041,             0.00020748,             0.00020748,             0.00020748
                      2,                0.68115,                 1.5096,                   1.28,                0.75639,                0.59436,                0.66841,                0.52382,                0.73013,                 1.0991,                 1.5592,             0.00040758,             0.00040758,             0.00040758
                      3,                0.66636,                 1.2329,                 1.2613,                0.78434,                0.64989,                0.70281,                0.55888,                0.72354,                0.93637,                 1.5117,             0.00059943,             0.00059943,             0.00059943
                      4,                0.65056,                 1.1214,                 1.2505,                 0.6864,                0.68521,                0.71552,                0.58405,                0.65968,                0.82076,                 1.4424,             0.00058787,             0.00058787,             0.00058787
                      5,                0.63379,                0.98875,                 1.2379,                0.81728,                0.62848,                0.73492,                0.58583,                0.69871,                0.90017,                 1.4812,              0.0005755,              0.0005755,              0.0005755
                      6,                0.62485,                0.91044,                  1.224,                0.81725,                 0.7639,                0.86406,                0.68896,                0.65063,                0.67996,                 1.4189,             0.00056313,             0.00056313,             0.00056313
                      7,                0.60335,                0.84769,                 1.2095,                0.77387,                0.79622,                0.86995,                 0.6933,                0.69435,                0.67009,                 1.4715,             0.00055075,             0.00055075,             0.00055075
                      8,                0.59734,                0.80267,                 1.2008,                0.76564,                0.81382,                0.88791,                0.73206,                0.63541,                 0.5939,                  1.398,             0.00053838,             0.00053838,             0.00053838
                      9,                0.60369,                0.75834,                 1.2083,                0.73291,                0.84034,                 0.8746,                0.69959,                0.69174,                0.64023,                 1.4663,               0.000526,               0.000526,               0.000526
                     10,                0.58569,                0.70982,                 1.1914,                0.82164,                0.86332,                0.92043,                0.75341,                0.59867,                0.53472,                 1.3541,             0.00051363,             0.00051363,             0.00051363
                     11,                0.56491,                0.68047,                 1.1807,                0.79425,                0.84235,                0.89983,                0.74123,                0.59007,                0.50721,                 1.3349,             0.00050125,             0.00050125,             0.00050125
                     12,                0.56807,                0.67613,                 1.1814,                0.91841,                0.85966,                 0.9631,                0.78965,                0.62466,                0.48698,                 1.3622,             0.00048888,             0.00048888,             0.00048888
                     13,                 0.5638,                0.62868,                  1.179,                0.86538,                0.83342,                0.93048,                0.77665,                0.58075,                0.50221,                 1.3323,              0.0004765,              0.0004765,              0.0004765
                     14,                0.56351,                0.63143,                 1.1747,                0.89999,                0.91957,                0.94673,                0.78191,                0.61251,                0.47747,                 1.3657,             0.00046413,             0.00046413,             0.00046413
                     15,                0.54416,                0.59444,                   1.16,                0.89206,                0.88224,                0.93272,                0.78868,                0.57909,                0.43602,                 1.3274,             0.00045175,             0.00045175,             0.00045175
                     16,                0.54446,                0.57644,                 1.1582,                0.87166,                0.90249,                0.94744,                0.79862,                0.57248,                0.47031,                 1.3155,             0.00043937,             0.00043937,             0.00043937
                     17,                0.53813,                0.56983,                 1.1654,                0.86588,                0.90502,                0.94725,                0.78301,                0.57272,                0.42658,                 1.3027,               0.000427,               0.000427,               0.000427
                     18,                0.54047,                0.56044,                 1.1594,                0.89945,                0.87998,                0.95174,                0.79648,                0.58798,                0.43663,                  1.339,             0.00041462,             0.00041462,             0.00041462
                     19,                0.53176,                0.55546,                   1.15,                 0.8978,                0.92577,                0.96492,                0.80436,                0.56565,                0.44736,                 1.3004,             0.00040225,             0.00040225,             0.00040225
                     20,                 0.5191,                0.52302,                 1.1409,                0.86144,                 0.8977,                0.93774,                  0.787,                0.55935,                0.41907,                 1.2948,             0.00038988,             0.00038988,             0.00038988
                     21,                0.51993,                0.51974,                 1.1414,                0.93973,                0.90674,                0.95694,                0.82523,                0.56936,                0.40667,                 1.3006,              0.0003775,              0.0003775,              0.0003775
                     22,                0.52001,                0.50306,                 1.1453,                 0.9189,                0.87556,                 0.9425,                0.79592,                0.54393,                0.48765,                 1.2788,             0.00036513,             0.00036513,             0.00036513
                     23,                0.51522,                 0.4958,                 1.1407,                0.92141,                0.89494,                0.95883,                0.81514,                0.56234,                 0.3989,                 1.2982,             0.00035275,             0.00035275,             0.00035275
                     24,                0.51444,                0.49697,                 1.1435,                0.95307,                0.92658,                 0.9687,                0.82219,                0.52959,                0.37042,                 1.2515,             0.00034038,             0.00034038,             0.00034038
                     25,                0.50509,                0.48472,                 1.1319,                0.95606,                0.93417,                0.97135,                0.83713,                0.54233,                 0.3758,                 1.2745,               0.000328,               0.000328,               0.000328
                     26,                0.50842,                0.47745,                 1.1367,                0.95397,                0.94298,                0.97462,                0.83562,                  0.523,                0.36112,                 1.2573,             0.00031562,             0.00031562,             0.00031562
                     27,                0.49241,                0.46544,                 1.1263,                0.93792,                0.96115,                0.97258,                0.84279,                0.53272,                 0.3526,                 1.2617,             0.00030325,             0.00030325,             0.00030325
                     28,                  0.498,                0.47022,                 1.1267,                0.95423,                0.94837,                0.97395,                0.84125,                0.51936,                0.35653,                 1.2434,             0.00029088,             0.00029088,             0.00029088
                     29,                0.48669,                0.44944,                  1.119,                0.95428,                0.90407,                0.97255,                0.84358,                0.51878,                0.34538,                 1.2436,              0.0002785,              0.0002785,              0.0002785
                     30,                0.48388,                0.44628,                 1.1184,                0.95213,                0.96072,                0.97509,                0.84244,                0.52114,                0.34297,                 1.2536,             0.00026613,             0.00026613,             0.00026613
                     31,                0.48697,                0.43686,                 1.1223,                  0.961,                0.94983,                 0.9781,                0.85359,                0.51323,                0.33916,                 1.2393,             0.00025375,             0.00025375,             0.00025375
                     32,                0.48248,                0.41954,                  1.116,                0.96435,                 0.9642,                0.97959,                0.84777,                0.51463,                0.32877,                 1.2353,             0.00024137,             0.00024137,             0.00024137
                     33,                0.48007,                0.42555,                 1.1117,                0.94472,                0.96043,                0.97406,                0.84843,                0.51704,                0.33206,                 1.2428,               0.000229,               0.000229,               0.000229
                     34,                0.47519,                0.40135,                 1.1118,                0.93929,                0.94941,                0.97315,                0.84217,                0.51441,                0.32439,                 1.2398,             0.00021662,             0.00021662,             0.00021662
                     35,                0.47077,                 0.4089,                 1.1069,                0.96208,                0.93653,                0.97376,                0.84383,                0.51497,                0.33379,                 1.2391,             0.00020425,             0.00020425,             0.00020425
                     36,                0.46714,                0.39958,                 1.1113,                0.93785,                0.95405,                0.97213,                0.84573,                0.51156,                0.32758,                 1.2322,             0.00019188,             0.00019188,             0.00019188
                     37,                0.46451,                0.38966,                 1.1007,                0.95489,                0.93771,                0.96867,                0.84069,                 0.5085,                0.32521,                 1.2309,              0.0001795,              0.0001795,              0.0001795
                     38,                 0.4542,                0.38509,                 1.0972,                0.95824,                0.93621,                0.97664,                0.84648,                0.50334,                 0.3256,                 1.2242,             0.00016713,             0.00016713,             0.00016713
                     39,                0.45433,                0.38548,                 1.1038,                0.94505,                0.94642,                0.97741,                0.85611,                0.49032,                0.31389,                 1.2109,             0.00015475,             0.00015475,             0.00015475
                     40,                0.45958,                0.37754,                 1.1011,                0.95974,                0.94551,                0.97512,                0.85408,                0.49654,                0.31465,                 1.2198,             0.00014237,             0.00014237,             0.00014237
                     41,                0.33234,                0.26707,                 1.0934,                0.95677,                0.94227,                0.97628,                0.85433,                0.49082,                0.31879,                 1.2151,                0.00013,                0.00013,                0.00013
                     42,                0.32221,                 0.2513,                 1.0793,                0.93083,                 0.9616,                0.97372,                0.85971,                0.48871,                0.31302,                 1.2135,             0.00011763,             0.00011763,             0.00011763
                     43,                0.31292,                0.23873,                 1.0717,                0.96449,                 0.9451,                0.97102,                0.86173,                 0.4814,                0.30865,                 1.1967,             0.00010525,             0.00010525,             0.00010525
                     44,                0.30611,                0.22501,                 1.0669,                0.96726,                 0.9473,                0.97179,                0.85585,                0.48017,                0.30555,                 1.1983,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                0.30393,                 0.2225,                 1.0623,                 0.9639,                0.95336,                0.97288,                0.86512,                0.47341,                0.29636,                 1.1909,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                 0.3017,                0.21499,                 1.0591,                0.96124,                0.96907,                0.97663,                0.85976,                0.47381,                0.29152,                 1.1896,             6.8125e-05,             6.8125e-05,             6.8125e-05
